trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
44601A954B1674,11:57:00,11:57:00,26734,1,"",0,0,0
44601A954B1674,12:01:00,12:01:00,26727,2,"",0,0,1.1049158260347
44601A954B1674,12:04:00,12:04:00,26728,3,"",0,0,1.6792435119881
44601A954B1674,12:08:00,12:08:00,26731,4,"",0,0,3.1711046786551
44601A954B1674,12:17:00,12:17:00,26729,5,"",0,0,8.2709040921876
44601A954B1674,12:19:00,12:19:00,26733,6,"",0,0,8.8225658570849
44600A954B1674,20:57:00,20:57:00,26734,1,"",0,0,0
44600A954B1674,21:01:00,21:01:00,26727,2,"",0,0,1.1049158260347
44600A954B1674,21:04:00,21:04:00,26728,3,"",0,0,1.6792435119881
44600A954B1674,21:08:00,21:08:00,26731,4,"",0,0,3.1711046786551
44600A954B1674,21:17:00,21:17:00,26729,5,"",0,0,8.2709040921876
44600A954B1674,21:19:00,21:19:00,26733,6,"",0,0,8.8225658570849
44599A954B1674,10:42:00,10:42:00,26734,1,"",0,0,0
44599A954B1674,10:46:00,10:46:00,26727,2,"",0,0,1.1049158260347
44599A954B1674,10:49:00,10:49:00,26728,3,"",0,0,1.6792435119881
44599A954B1674,10:53:00,10:53:00,26731,4,"",0,0,3.1711046786551
44599A954B1674,11:02:00,11:02:00,26729,5,"",0,0,8.2709040921876
44599A954B1674,11:04:00,11:04:00,26733,6,"",0,0,8.8225658570849
44602A954B1674,22:12:00,22:12:00,26734,1,"",0,0,0
44602A954B1674,22:16:00,22:16:00,26727,2,"",0,0,1.1049158260347
44602A954B1674,22:19:00,22:19:00,26728,3,"",0,0,1.6792435119881
44602A954B1674,22:23:00,22:23:00,26731,4,"",0,0,3.1711046786551
44602A954B1674,22:32:00,22:32:00,26729,5,"",0,0,8.2709040921876
44602A954B1674,22:34:00,22:34:00,26733,6,"",0,0,8.8225658570849
36120A745B1674,11:45:00,11:45:00,26733,1,"",0,0,0
36120A745B1674,11:47:00,11:47:00,26729,2,"",0,0,0.53805416580964
36120A745B1674,11:56:00,11:56:00,26731,3,"",0,0,5.5819106855975
36121A745B1674,22:15:00,22:15:00,26733,1,"",0,0,0
36121A745B1674,22:17:00,22:17:00,26729,2,"",0,0,0.53805416580964
36121A745B1674,22:26:00,22:26:00,26731,3,"",0,0,5.5819106855975
36122A745B1674,13:15:00,13:15:00,26733,1,"",0,0,0
36122A745B1674,13:17:00,13:17:00,26729,2,"",0,0,0.53805416580964
36122A745B1674,13:26:00,13:26:00,26731,3,"",0,0,5.5819106855975
45350A745B1674,08:23:00,08:23:00,26731,1,"",0,0,0
45350A745B1674,08:32:00,08:32:00,26729,2,"",0,0,5.0518979399056
45350A745B1674,08:34:00,08:34:00,26733,3,"",0,0,5.6035597048029
36124A745B1674,14:30:00,14:30:00,26733,1,"",0,0,0
36124A745B1674,14:32:00,14:32:00,26729,2,"",0,0,0.53805416580964
36124A745B1674,14:41:00,14:41:00,26731,3,"",0,0,5.5819106855975
36125A745B1674,02:50:00,02:50:00,26733,1,"",0,0,0
36125A745B1674,02:52:00,02:52:00,26729,2,"",0,0,0.53805416580964
36125A745B1674,03:01:00,03:01:00,26731,3,"",0,0,5.5819106855975
36126A745B1674,15:45:00,15:45:00,26733,1,"",0,0,0
36126A745B1674,15:47:00,15:47:00,26729,2,"",0,0,0.53805416580964
36126A745B1674,15:56:00,15:56:00,26731,3,"",0,0,5.5819106855975
36127A745B1674,05:40:00,05:40:00,26733,1,"",0,0,0
36127A745B1674,05:42:00,05:42:00,26729,2,"",0,0,0.53805416580964
36127A745B1674,05:51:00,05:51:00,26731,3,"",0,0,5.5819106855975
36128A745B1674,17:00:00,17:00:00,26733,1,"",0,0,0
36128A745B1674,17:02:00,17:02:00,26729,2,"",0,0,0.53805416580964
36128A745B1674,17:11:00,17:11:00,26731,3,"",0,0,5.5819106855975
36129A745B1674,07:30:00,07:30:00,26733,1,"",0,0,0
36129A745B1674,07:32:00,07:32:00,26729,2,"",0,0,0.53805416580964
36129A745B1674,07:41:00,07:41:00,26731,3,"",0,0,5.5819106855975
36130A745B1674,18:15:00,18:15:00,26733,1,"",0,0,0
36130A745B1674,18:17:00,18:17:00,26729,2,"",0,0,0.53805416580964
36130A745B1674,18:26:00,18:26:00,26731,3,"",0,0,5.5819106855975
36131A745B1674,08:45:00,08:45:00,26733,1,"",0,0,0
36131A745B1674,08:47:00,08:47:00,26729,2,"",0,0,0.53805416580964
36131A745B1674,08:56:00,08:56:00,26731,3,"",0,0,5.5819106855975
36132A745B1674,19:30:00,19:30:00,26733,1,"",0,0,0
36132A745B1674,19:32:00,19:32:00,26729,2,"",0,0,0.53805416580964
36132A745B1674,19:41:00,19:41:00,26731,3,"",0,0,5.5819106855975
36133A745B1674,10:00:00,10:00:00,26733,1,"",0,0,0
36133A745B1674,10:02:00,10:02:00,26729,2,"",0,0,0.53805416580964
36133A745B1674,10:11:00,10:11:00,26731,3,"",0,0,5.5819106855975
36134A745B1674,20:45:00,20:45:00,26733,1,"",0,0,0
36134A745B1674,20:47:00,20:47:00,26729,2,"",0,0,0.53805416580964
36134A745B1674,20:56:00,20:56:00,26731,3,"",0,0,5.5819106855975
36135A745B1674,11:15:00,11:15:00,26733,1,"",0,0,0
36135A745B1674,11:17:00,11:17:00,26729,2,"",0,0,0.53805416580964
36135A745B1674,11:26:00,11:26:00,26731,3,"",0,0,5.5819106855975
36136A745B1674,21:45:00,21:45:00,26733,1,"",0,0,0
36136A745B1674,21:47:00,21:47:00,26729,2,"",0,0,0.53805416580964
36136A745B1674,21:56:00,21:56:00,26731,3,"",0,0,5.5819106855975
36137A745B1674,12:30:00,12:30:00,26733,1,"",0,0,0
36137A745B1674,12:32:00,12:32:00,26729,2,"",0,0,0.53805416580964
36137A745B1674,12:41:00,12:41:00,26731,3,"",0,0,5.5819106855975
36138A745B1674,23:00:00,23:00:00,26733,1,"",0,0,0
36138A745B1674,23:02:00,23:02:00,26729,2,"",0,0,0.53805416580964
36138A745B1674,23:11:00,23:11:00,26731,3,"",0,0,5.5819106855975
36139A745B1674,13:45:00,13:45:00,26733,1,"",0,0,0
36139A745B1674,13:47:00,13:47:00,26729,2,"",0,0,0.53805416580964
36139A745B1674,13:56:00,13:56:00,26731,3,"",0,0,5.5819106855975
36140A745B1674,01:05:00,01:05:00,26733,1,"",0,0,0
36140A745B1674,01:07:00,01:07:00,26729,2,"",0,0,0.53805416580964
36140A745B1674,01:16:00,01:16:00,26731,3,"",0,0,5.5819106855975
36141A745B1674,15:00:00,15:00:00,26733,1,"",0,0,0
36141A745B1674,15:02:00,15:02:00,26729,2,"",0,0,0.53805416580964
36141A745B1674,15:11:00,15:11:00,26731,3,"",0,0,5.5819106855975
36142A745B1674,04:00:00,04:00:00,26733,1,"",0,0,0
36142A745B1674,04:02:00,04:02:00,26729,2,"",0,0,0.53805416580964
36142A745B1674,04:11:00,04:11:00,26731,3,"",0,0,5.5819106855975
36143A745B1674,16:15:00,16:15:00,26733,1,"",0,0,0
36143A745B1674,16:17:00,16:17:00,26729,2,"",0,0,0.53805416580964
36143A745B1674,16:26:00,16:26:00,26731,3,"",0,0,5.5819106855975
36144A745B1674,06:20:00,06:20:00,26733,1,"",0,0,0
36144A745B1674,06:22:00,06:22:00,26729,2,"",0,0,0.53805416580964
36144A745B1674,06:31:00,06:31:00,26731,3,"",0,0,5.5819106855975
36145A745B1674,17:30:00,17:30:00,26733,1,"",0,0,0
36145A745B1674,17:32:00,17:32:00,26729,2,"",0,0,0.53805416580964
36145A745B1674,17:41:00,17:41:00,26731,3,"",0,0,5.5819106855975
36146A745B1674,08:00:00,08:00:00,26733,1,"",0,0,0
36146A745B1674,08:02:00,08:02:00,26729,2,"",0,0,0.53805416580964
36146A745B1674,08:11:00,08:11:00,26731,3,"",0,0,5.5819106855975
36147A745B1674,18:45:00,18:45:00,26733,1,"",0,0,0
36147A745B1674,18:47:00,18:47:00,26729,2,"",0,0,0.53805416580964
36147A745B1674,18:56:00,18:56:00,26731,3,"",0,0,5.5819106855975
36148A745B1674,09:15:00,09:15:00,26733,1,"",0,0,0
36148A745B1674,09:17:00,09:17:00,26729,2,"",0,0,0.53805416580964
36148A745B1674,09:26:00,09:26:00,26731,3,"",0,0,5.5819106855975
36149A745B1674,20:00:00,20:00:00,26733,1,"",0,0,0
36149A745B1674,20:02:00,20:02:00,26729,2,"",0,0,0.53805416580964
36149A745B1674,20:11:00,20:11:00,26731,3,"",0,0,5.5819106855975
36150A745B1674,10:30:00,10:30:00,26733,1,"",0,0,0
36150A745B1674,10:32:00,10:32:00,26729,2,"",0,0,0.53805416580964
36150A745B1674,10:41:00,10:41:00,26731,3,"",0,0,5.5819106855975
36151A745B1674,21:15:00,21:15:00,26733,1,"",0,0,0
36151A745B1674,21:17:00,21:17:00,26729,2,"",0,0,0.53805416580964
36151A745B1674,21:26:00,21:26:00,26731,3,"",0,0,5.5819106855975
36152A745B1674,12:00:00,12:00:00,26733,1,"",0,0,0
36152A745B1674,12:02:00,12:02:00,26729,2,"",0,0,0.53805416580964
36152A745B1674,12:11:00,12:11:00,26731,3,"",0,0,5.5819106855975
36153A745B1674,22:30:00,22:30:00,26733,1,"",0,0,0
36153A745B1674,22:32:00,22:32:00,26729,2,"",0,0,0.53805416580964
36153A745B1674,22:41:00,22:41:00,26731,3,"",0,0,5.5819106855975
36154A745B1674,12:45:00,12:45:00,26733,1,"",0,0,0
36154A745B1674,12:47:00,12:47:00,26729,2,"",0,0,0.53805416580964
36154A745B1674,12:56:00,12:56:00,26731,3,"",0,0,5.5819106855975
36155A745B1674,23:15:00,23:15:00,26733,1,"",0,0,0
36155A745B1674,23:17:00,23:17:00,26729,2,"",0,0,0.53805416580964
